n,k,move_index,row,col,minimax_value,rand_X_win_prob,rand_O_win_prob,rand_tie_prob
4,4,0,0,0,0,0.3485,0.235,0.4165
4,4,1,0,1,0,0.298,0.282,0.42
4,4,2,0,2,0,0.2925,0.2795,0.428
4,4,3,0,3,0,0.331,0.241,0.428
4,4,4,1,0,0,0.2995,0.276,0.4245
4,4,5,1,1,0,0.3265,0.2605,0.413
4,4,6,1,2,0,0.3285,0.256,0.4155
4,4,7,1,3,0,0.288,0.2995,0.4125
4,4,8,2,0,0,0.3035,0.292,0.4045
4,4,9,2,1,0,0.347,0.2385,0.4145
4,4,10,2,2,0,0.3515,0.2435,0.405
4,4,11,2,3,0,0.301,0.2985,0.4005
4,4,12,3,0,0,0.343,0.2305,0.4265
4,4,13,3,1,0,0.2895,0.292,0.4185
4,4,14,3,2,0,0.298,0.2905,0.4115
4,4,15,3,3,0,0.341,0.252,0.407
