ply,role,d4_corner,d4_edges,d4_center,row_0,row_1,row_2,col_0,col_1,col_2,diag_main,diag_anti,shell_0,shell_1,shell_2,center_minus_edges,edges_minus_corners,shells_slope
0,X,0.60714287,0.53571427,0.69285715,0.5833334,0.58809525,0.5833334,0.5833334,0.58809525,0.5833334,0.6357143,0.6357143,0.69285715,0.53571427,0.60714287,0.15714288,-0.0714286,-0.042857140302658144
0,O,0.60714287,0.53571427,0.69285715,0.5833334,0.58809525,0.5833334,0.5833334,0.58809525,0.5833334,0.6357143,0.6357143,0.69285715,0.53571427,0.60714287,0.15714288,-0.0714286,-0.042857140302658144
1,X,0.75714284,0.6857143,0.8428571,0.73333335,0.7380953,0.73333335,0.73333335,0.7380953,0.73333335,0.7857143,0.7857143,0.8428571,0.6857143,0.75714284,0.15714282,-0.07142854,-0.042857140302658095
1,O,0.31785715,0.22857143,0.40714285,0.28809524,0.28809524,0.28809524,0.28809524,0.28809524,0.28809524,0.34761906,0.34761906,0.40714285,0.22857143,0.31785715,0.17857142,-0.08928572,-0.044642850756645244
2,X,0.60714287,0.53571427,0.69285715,0.5833334,0.58809525,0.5833334,0.5833334,0.58809525,0.5833334,0.6357143,0.6357143,0.69285715,0.53571427,0.60714287,0.15714288,-0.0714286,-0.042857140302658144
2,O,0.60714287,0.53571427,0.69285715,0.5833334,0.58809525,0.5833334,0.5833334,0.58809525,0.5833334,0.6357143,0.6357143,0.69285715,0.53571427,0.60714287,0.15714288,-0.0714286,-0.042857140302658144
3,X,0.75714284,0.6857143,0.8428571,0.73333335,0.7380953,0.73333335,0.73333335,0.7380953,0.73333335,0.7857143,0.7857143,0.8428571,0.6857143,0.75714284,0.15714282,-0.07142854,-0.042857140302658095
3,O,0.31785715,0.22857143,0.40714285,0.28809524,0.28809524,0.28809524,0.28809524,0.28809524,0.28809524,0.34761906,0.34761906,0.40714285,0.22857143,0.31785715,0.17857142,-0.08928572,-0.044642850756645244
4,X,0.60714287,0.53571427,0.69285715,0.5833334,0.58809525,0.5833334,0.5833334,0.58809525,0.5833334,0.6357143,0.6357143,0.69285715,0.53571427,0.60714287,0.15714288,-0.0714286,-0.042857140302658144
4,O,0.60714287,0.53571427,0.69285715,0.5833334,0.58809525,0.5833334,0.5833334,0.58809525,0.5833334,0.6357143,0.6357143,0.69285715,0.53571427,0.60714287,0.15714288,-0.0714286,-0.042857140302658144
5,X,0.73333335,0.648,0.83076924,0.70488894,0.7089231,0.70488894,0.70488894,0.7089231,0.70488894,0.76581204,0.76581204,0.83076924,0.648,0.73333335,0.18276924,-0.08533335,-0.04871794581413276
5,O,0.34901962,0.256,0.43846154,0.31801307,0.31682053,0.31801307,0.31801307,0.31682053,0.3180131,0.3788336,0.3788336,0.43846154,0.256,0.34901962,0.18246153,-0.093019605,-0.04472096264362334
6,X,0.625,0.5405405,0.71900827,0.5968468,0.60002977,0.5968468,0.5968468,0.60002977,0.5968469,0.6563361,0.6563361,0.71900827,0.5405405,0.625,0.17846775,-0.08445948,-0.047004133462905925
6,O,0.625,0.5405405,0.71900827,0.5968468,0.60002977,0.5968468,0.5968468,0.60002977,0.5968469,0.6563361,0.6563361,0.71900827,0.5405405,0.625,0.17846775,-0.08445948,-0.047004133462905925
7,X,0.68711656,0.5217391,0.82978725,0.6319908,0.6244219,0.6319908,0.6319908,0.6244219,0.6319908,0.7346735,0.7346735,0.82978725,0.5217391,0.68711656,0.30804813,-0.16537744,-0.07133534550666827
7,O,0.40490797,0.26086956,0.5106383,0.35689518,0.34412584,0.35689518,0.35689518,0.34412584,0.35689518,0.44015142,0.44015142,0.5106383,0.26086956,0.40490797,0.24976873,-0.14403841,-0.05286516249179842
8,X,0.6785714,0.5,0.7894737,0.61904764,0.5964913,0.61904764,0.61904764,0.5964913,0.61904764,0.71553886,0.71553886,0.7894737,0.5,0.6785714,0.2894737,-0.1785714,-0.055451154708862346
8,O,0.6785714,0.5,0.7894737,0.61904764,0.5964913,0.61904764,0.61904764,0.5964913,0.61904764,0.71553886,0.71553886,0.7894737,0.5,0.6785714,0.2894737,-0.1785714,-0.055451154708862346
9,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
9,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
