radius,mean_magnitude
3.8649741266921827,9632.284695506673
11.594922380076548,2460.4073253692704
19.324870633460915,978.4448191502871
27.05481888684528,679.1406562223546
34.78476714022965,737.2098748542604
42.51471539361401,594.1043792974059
50.244663646998376,398.98076799639495
57.97461190038274,374.45122637500884
65.7045601537671,314.6478301836519
73.43450840715147,282.5424802653244
81.16445666053585,265.8454047772588
88.8944049139202,250.35299969662793
96.62435316730458,248.63831458476747
104.35430142068893,246.32890553339848
112.0842496740733,242.92165896704728
119.81419792745766,222.52143847901675
127.54414618084203,221.56348061616086
135.2740944342264,237.8999130892955
143.00404268761076,237.97793946554134
150.7339909409951,206.0612369245096
158.4639391943795,190.7009375339658
166.19388744776387,167.92487276332227
173.92383570114822,138.55851168694227
181.65378395453257,130.7762126296102
189.38373220791695,111.58606326909712
197.11368046130133,104.65200654167369
204.84362871468568,107.40818763640672
212.57357696807003,96.9380799429986
220.3035252214544,95.15061138846235
228.0334734748388,91.43070786119927
235.76342172822314,82.04605803237446
243.4933699816075,73.4974632738223
251.2233182349919,70.10738622098283
258.95326648837624,64.5358035314693
266.6832147417606,60.04051384445961
274.41316299514494,57.162158323943416
282.14311124852935,52.33002489193264
289.8730595019137,48.49657776422481
297.60300775529805,48.450350581878006
305.33295600868246,47.67834601370912
313.0629042620668,42.084312041725745
320.79285251545116,43.33645613570401
328.5228007688355,41.236935700440405
336.25274902221986,38.48181179907691
343.98269727560427,35.81687047244283
351.7126455289886,39.06916847874743
359.44259378237297,38.95473507848089
367.1725420357574,36.23733406982599
374.9024902891417,36.8258409913977
382.6324385425261,36.09223603678428
390.3623867959104,35.97851813472893
398.09233504929483,34.87201249023833
405.8222833026792,31.64766503163857
413.55223155606353,30.758856546899704
421.28217980944794,31.09892147862074
429.0121280628323,31.836481019272355
436.74207631621664,29.986978006787446
444.472024569601,28.7385585768102
452.20197282298534,26.76837698800685
459.93192107636975,26.51004712360118
467.6618693297541,25.26329883484291
475.39181758313845,24.642188960386026
483.12176583652285,24.655380595852076
490.8517140899072,23.578298360850784
498.58166234329155,23.309928510292526
506.3116105966759,22.182284997567677
514.0415588500603,19.163763257215912
521.7715071034447,17.69354263665137
529.501455356829,16.535879720456716
537.2314036102134,15.530097697519293
544.9613518635977,14.134589691909959
552.6913001169821,13.572379764073446
560.4212483703666,13.674054006363074
568.1511966237508,14.0785706747964
575.8811448771353,13.20227028295622
583.6110931305195,11.349153980752156
591.341041383904,10.095841835044816
599.0709896372882,9.868543654652116
606.8009378906727,9.780074238596521
614.530886144057,9.719431232088095
622.2608343974414,9.448668012147612
629.9907826508258,9.144419647536962
637.7207309042101,9.198845175803115
645.4506791575945,9.009970710974304
653.1806274109788,8.872818452225292
660.9105756643633,8.739790227770985
668.6405239177476,8.770470211961285
676.370472171132,8.953695288768733
684.1004204245164,8.941184280568828
691.8303686779007,8.324296593090674
699.5603169312851,8.25732072624322
707.2902651846694,8.286860081467745
715.0202134380538,7.969528908776756
722.750161691438,8.173495689468542
730.4801099448225,8.450872231706597
738.210058198207,8.802492381056062
745.9400064515912,8.699187214182341
753.6699547049757,10.003650839455883
761.3999029583599,9.225188682520695
769.1298512117444,8.362337374282951
